sex,age_group,education_level,income_level,race,employment_status,marital_status,high_bp,high_cholesterol,bmi_category,smoking_status,heavy_alcohol_use,stroke_history,heart_disease_history,kidney_disease_history,physical_activity,health_plan,cost_barrier_to_care,general_health_rating,poor_mental_health_days,poor_physical_health_days,depression_diagnosed
0.10981299728155136,0.4553513824939728,0.08301487565040588,0.07266097515821457,0.14889146387577057,0.07755400240421295,0.019461197778582573,0.4885774552822113,0.30930373072624207,0.36122629046440125,0.04072892293334007,0.08477374911308289,0.023018166422843933,0.06968341022729874,0.07761697471141815,0.0966467335820198,0.02265365608036518,0.012150309048593044,0.5151988863945007,0.09960200637578964,0.0371163971722126,0.024787960574030876
0.11670690774917603,0.4409639239311218,0.07457046210765839,0.09830395132303238,0.13022035360336304,0.0694984719157219,0.015323644503951073,0.49576377868652344,0.3018778860569,0.3517138957977295,0.043688565492630005,0.07105056196451187,0.02553555741906166,0.06877461075782776,0.07493943721055984,0.11105944216251373,0.015112168155610561,0.007546929642558098,0.5125730633735657,0.09211324900388718,0.04080696403980255,0.03534513711929321
0.1218419075012207,0.4530041813850403,0.0725172758102417,0.08339632302522659,0.15031541883945465,0.07125890254974365,0.020086294040083885,0.4974847435951233,0.29525336623191833,0.3446602523326874,0.03525812178850174,0.0737745389342308,0.02507762610912323,0.07327329367399216,0.07551156729459763,0.11006740480661392,0.009106630459427834,0.010765268467366695,0.4916171431541443,0.09140446782112122,0.037824224680662155,0.035185445100069046
0.1074395701289177,0.45544636249542236,0.07198445498943329,0.09448163211345673,0.1375861018896103,0.06760961562395096,0.01732446253299713,0.4995926320552826,0.31010183691978455,0.3703404366970062,0.043428532779216766,0.08095750212669373,0.023520052433013916,0.07017985731363297,0.08786328136920929,0.11134569346904755,0.008726462721824646,0.014473476447165012,0.5060318112373352,0.09889072179794312,0.0432252511382103,0.02813403122127056
0.12625692784786224,0.44098231196403503,0.05501643940806389,0.0903790295124054,0.15575768053531647,0.06121118739247322,0.012623177841305733,0.49131134152412415,0.3227110505104065,0.3614848852157593,0.03954790532588959,0.07033176720142365,0.01984456554055214,0.0704808458685875,0.07849130034446716,0.1080215573310852,0.014754518866539001,0.006807655096054077,0.49996909499168396,0.08750297874212265,0.038982272148132324,0.02760566584765911
0.11921204626560211,0.4643036723136902,0.06775931268930435,0.10063279420137405,0.13436882197856903,0.06070588529109955,0.013063499704003334,0.4836706817150116,0.325857549905777,0.35139337182044983,0.051407258957624435,0.07019522041082382,0.022803278639912605,0.06253436207771301,0.0763174444437027,0.11497557908296585,0.012359073385596275,0.009148744866251945,0.5114151835441589,0.08796916157007217,0.04246461018919945,0.0355285182595253
0.11581503599882126,0.4590848982334137,0.07981763780117035,0.0967312678694725,0.14442288875579834,0.0774439200758934,0.016997409984469414,0.4885781705379486,0.29233795404434204,0.3563292324542999,0.0457715205848217,0.08020830899477005,0.02064714953303337,0.07352591305971146,0.08372249454259872,0.10760658979415894,0.012883209623396397,0.008162419311702251,0.5086274743080139,0.10378895699977875,0.040533971041440964,0.041017014533281326
0.11466913670301437,0.4374333918094635,0.06323769688606262,0.1001683846116066,0.14579759538173676,0.0963195264339447,0.014813854359090328,0.4842947721481323,0.3136904835700989,0.3230743706226349,0.04033203050494194,0.07879026979207993,0.024092767387628555,0.0650695413351059,0.07269811630249023,0.10783546417951584,0.013788564130663872,0.009124147705733776,0.5211589932441711,0.08393093943595886,0.0390215702354908,0.029143942520022392
0.12584133446216583,0.47103291749954224,0.0755927562713623,0.08868774026632309,0.14087846875190735,0.0738295465707779,0.017559267580509186,0.5058410167694092,0.3221888542175293,0.36385098099708557,0.04053608700633049,0.08299420773983002,0.01611863076686859,0.060579944401979446,0.07454228401184082,0.10749762505292892,0.013481996953487396,0.00931227020919323,0.508624792098999,0.09363030642271042,0.04619637131690979,0.030892690643668175
0.109208844602108,0.44865888357162476,0.057639990001916885,0.09725411236286163,0.15695635974407196,0.0698215588927269,0.011812378652393818,0.5040637254714966,0.315410315990448,0.3503476083278656,0.04799908772110939,0.07862094789743423,0.023760151118040085,0.06668515503406525,0.07996712625026703,0.10810085386037827,0.013335916213691235,0.00641968660056591,0.5090327262878418,0.0830799862742424,0.031694963574409485,0.02705555222928524
